case_id,dice_score,inference_time_seconds,input_shape,prediction_shape
case_001,0.7907871399664765,4.592907905578613,"(88, 1024, 1024)","(88, 1024, 1024)"
case_002,0.7461099090248183,3.889540672302246,"(88, 1024, 1024)","(88, 1024, 1024)"
case_003,0.8501169852376328,3.9527153968811035,"(88, 1024, 1024)","(88, 1024, 1024)"
case_004,0.9301607483425297,3.9354071617126465,"(88, 1024, 1024)","(88, 1024, 1024)"
case_005,0.7456755945754607,3.8896420001983643,"(88, 1024, 1024)","(88, 1024, 1024)"
case_006,0.8516411790637488,3.9381890296936035,"(88, 1024, 1024)","(88, 1024, 1024)"
case_007,0.824310285622348,3.971226930618286,"(88, 1024, 1024)","(88, 1024, 1024)"
case_008,0.8640707994304924,3.9301445484161377,"(88, 1024, 1024)","(88, 1024, 1024)"
case_009,0.7685644953755745,3.9366047382354736,"(88, 1024, 1024)","(88, 1024, 1024)"
case_010,0.8324596902682735,3.987382650375366,"(88, 1024, 1024)","(88, 1024, 1024)"
case_011,0.8710963289609183,3.9681220054626465,"(88, 1024, 1024)","(88, 1024, 1024)"
case_012,0.6640436749695624,3.948193073272705,"(88, 1024, 1024)","(88, 1024, 1024)"
case_013,0.7907783331632904,3.957726240158081,"(88, 1024, 1024)","(88, 1024, 1024)"
case_014,0.8754817470935243,3.974278211593628,"(88, 1024, 1024)","(88, 1024, 1024)"
case_015,0.7510203381691896,3.9637231826782227,"(88, 1024, 1024)","(88, 1024, 1024)"
case_016,0.8779023757354961,4.00035548210144,"(88, 1024, 1024)","(88, 1024, 1024)"
case_017,0.0002517200872629372,3.9307920932769775,"(88, 1024, 1024)","(88, 1024, 1024)"
case_018,0.8399770091624894,3.951369047164917,"(88, 1024, 1024)","(88, 1024, 1024)"
case_019,0.7600501809871287,3.9629831314086914,"(88, 1024, 1024)","(88, 1024, 1024)"
case_020,0.9232777183566899,3.880652666091919,"(88, 1024, 1024)","(88, 1024, 1024)"
case_021,0.8983639401242793,3.942232370376587,"(88, 1024, 1024)","(88, 1024, 1024)"
case_022,0.8562836187636527,3.954336643218994,"(88, 1024, 1024)","(88, 1024, 1024)"
case_023,0.7419225996793674,3.886645793914795,"(88, 1024, 1024)","(88, 1024, 1024)"
case_024,0.8626621606889158,3.875734806060791,"(88, 1024, 1024)","(88, 1024, 1024)"
case_025,0.8938565267440337,3.928720712661743,"(88, 1024, 1024)","(88, 1024, 1024)"
case_026,0.882958450139399,3.938683032989502,"(88, 1024, 1024)","(88, 1024, 1024)"
case_027,0.7134582731643558,3.9047460556030273,"(88, 1024, 1024)","(88, 1024, 1024)"
case_028,0.9031426959709894,3.9407496452331543,"(88, 1024, 1024)","(88, 1024, 1024)"
case_029,0.9169152287819862,3.934950113296509,"(88, 1024, 1024)","(88, 1024, 1024)"
case_030,0.8877729599423668,3.943486213684082,"(88, 1024, 1024)","(88, 1024, 1024)"
case_031,0.7405273164045532,3.914675712585449,"(88, 1024, 1024)","(88, 1024, 1024)"
case_032,0.8951580238854215,3.936886787414551,"(88, 1024, 1024)","(88, 1024, 1024)"
case_033,0.9037199231674867,3.967833995819092,"(88, 1024, 1024)","(88, 1024, 1024)"
case_034,0.8132288358894394,3.945544958114624,"(88, 1024, 1024)","(88, 1024, 1024)"
case_035,0.7576962602206853,3.945406436920166,"(88, 1024, 1024)","(88, 1024, 1024)"
case_036,0.8704221608120664,3.9400475025177,"(88, 1024, 1024)","(88, 1024, 1024)"
case_037,0.8810200184317367,3.9571547508239746,"(88, 1024, 1024)","(88, 1024, 1024)"
case_038,0.8085842315610604,3.8974058628082275,"(88, 1024, 1024)","(88, 1024, 1024)"
case_039,0.8007739027773053,3.9370641708374023,"(88, 1024, 1024)","(88, 1024, 1024)"
case_040,0.8896009648799578,3.9516470432281494,"(88, 1024, 1024)","(88, 1024, 1024)"
case_041,0.8709378786776201,3.9518966674804688,"(88, 1024, 1024)","(88, 1024, 1024)"
case_042,0.7815864029809506,3.9442732334136963,"(88, 1024, 1024)","(88, 1024, 1024)"
case_043,0.8793560385911635,3.940216064453125,"(88, 1024, 1024)","(88, 1024, 1024)"
case_044,0.8678380706287496,3.9437296390533447,"(88, 1024, 1024)","(88, 1024, 1024)"
case_045,0.7646395832289257,3.939465045928955,"(88, 1024, 1024)","(88, 1024, 1024)"
case_046,0.7983762844257485,3.9122586250305176,"(88, 1024, 1024)","(88, 1024, 1024)"
case_047,0.8728078987399589,3.973609209060669,"(88, 1024, 1024)","(88, 1024, 1024)"
case_048,0.866019553632233,3.9642488956451416,"(88, 1024, 1024)","(88, 1024, 1024)"
case_049,0.6907184257030198,3.93786358833313,"(88, 1024, 1024)","(88, 1024, 1024)"
case_050,0.8464572988934697,3.915616273880005,"(88, 1024, 1024)","(88, 1024, 1024)"
case_051,0.8285427816926036,3.899416923522949,"(88, 1024, 1024)","(88, 1024, 1024)"
case_052,0.7833661189791473,3.9267477989196777,"(88, 1024, 1024)","(88, 1024, 1024)"
case_053,0.9281241380718896,3.9425203800201416,"(88, 1024, 1024)","(88, 1024, 1024)"
case_054,0.917885532093426,3.9668991565704346,"(88, 1024, 1024)","(88, 1024, 1024)"
case_055,0.7572932063435334,3.9320688247680664,"(88, 1024, 1024)","(88, 1024, 1024)"
case_056,0.7880568457293129,3.8929684162139893,"(88, 1024, 1024)","(88, 1024, 1024)"
case_057,0.8782622006922715,3.944986343383789,"(88, 1024, 1024)","(88, 1024, 1024)"
case_058,0.904859806758342,3.93928861618042,"(88, 1024, 1024)","(88, 1024, 1024)"
case_059,0.857523794694082,3.9404666423797607,"(88, 1024, 1024)","(88, 1024, 1024)"
case_060,0.9570067107061264,3.883246421813965,"(88, 1024, 1024)","(88, 1024, 1024)"
case_061,0.6922085691932042,3.8973543643951416,"(88, 1024, 1024)","(88, 1024, 1024)"
case_062,0.05339678429587743,3.9306833744049072,"(88, 1024, 1024)","(88, 1024, 1024)"
case_063,0.7800739856890888,3.944589138031006,"(88, 1024, 1024)","(88, 1024, 1024)"
case_064,0.8004117741326314,3.939164400100708,"(88, 1024, 1024)","(88, 1024, 1024)"
SUMMARY,0.8068999067218022,3.94702323153615,Mean ± Std: 0.8069 ± 0.1550,Average inference time: 3.95s
